Datetime,TAVG
10/5/2012,59.5
10/6/2012,47.5
10/7/2012,45
10/8/2012,43.5
10/9/2012,48.5
10/10/2012,46.5
10/11/2012,45
10/12/2012,50
10/13/2012,58
10/14/2012,66
10/15/2012,52
10/16/2012,51
10/17/2012,64
10/18/2012,55.5
10/19/2012,50.5
10/20/2012,47
10/21/2012,51.5
10/22/2012,63.5
10/23/2012,67
10/24/2012,67.5
10/25/2012,64.5
10/26/2012,53.5
10/27/2012,47
10/28/2012,45
10/29/2012,42
10/30/2012,39
10/31/2012,40.5
11/1/2012,44.5
11/2/2012,45
11/3/2012,36.5
11/4/2012,40.5
11/5/2012,37.5
11/6/2012,41
11/7/2012,45
11/8/2012,41
11/9/2012,45
11/10/2012,58.5
11/11/2012,57
11/12/2012,46.5
11/13/2012,34.5
11/14/2012,34.5
11/15/2012,38
11/16/2012,39
11/17/2012,45
11/18/2012,45.5
11/19/2012,46
11/20/2012,49.5
11/21/2012,52
11/22/2012,48.5
11/23/2012,44.5
11/24/2012,27
11/25/2012,35
11/26/2012,39.5
11/27/2012,32.5
11/28/2012,32.5
11/29/2012,35.5
11/30/2012,47
12/1/2012,55
12/2/2012,56
12/3/2012,64
12/4/2012,52
12/5/2012,40.5
12/6/2012,39
12/7/2012,52
12/8/2012,52
12/9/2012,53.5
12/10/2012,43.5
12/11/2012,28.5
12/12/2012,31.5
12/13/2012,34
12/14/2012,39
12/15/2012,46
12/16/2012,54.5
12/17/2012,46.5
12/18/2012,39.5
12/19/2012,41
12/20/2012,41.5
12/21/2012,29
12/22/2012,28.5
12/23/2012,37.5
12/24/2012,37
12/25/2012,33.5
12/26/2012,31.5
12/27/2012,29
12/28/2012,30
12/29/2012,28.5
12/30/2012,24.5
12/31/2012,28.5
1/1/2013,30
1/2/2013,23
1/3/2013,23.5
1/4/2013,32
1/5/2013,30.5
1/6/2013,33.5
1/7/2013,29.5
1/8/2013,36.5
1/9/2013,43.5
1/10/2013,39.5
1/11/2013,54
1/12/2013,58.5
1/13/2013,50
1/14/2013,29
1/15/2013,28
1/16/2013,33
1/17/2013,36
1/18/2013,28.5
1/19/2013,45
1/20/2013,36.5
1/21/2013,20
1/22/2013,13
1/23/2013,17
1/24/2013,20
1/25/2013,23
1/26/2013,25.5
1/27/2013,29
1/28/2013,46
1/29/2013,58.5
1/30/2013,49.5
1/31/2013,24.5
2/1/2013,12.5
2/2/2013,22
2/3/2013,21.5
2/4/2013,23.5
2/5/2013,31.5
2/6/2013,34
2/7/2013,46
2/8/2013,42
2/9/2013,31
2/10/2013,44
2/11/2013,45
2/12/2013,39
2/13/2013,33.5
2/14/2013,42
2/15/2013,33.5
2/16/2013,23
2/17/2013,22.5
2/18/2013,41.5
2/19/2013,35
2/20/2013,24.5
2/21/2013,26
2/22/2013,37
2/23/2013,38
2/24/2013,34.5
2/25/2013,34.5
2/26/2013,43.5
2/27/2013,37
2/28/2013,34
3/1/2013,33
3/2/2013,28
3/3/2013,26.5
3/4/2013,29.5
3/5/2013,35
3/6/2013,31
3/7/2013,33.5
3/8/2013,35
3/9/2013,43
3/10/2013,59
3/11/2013,46
3/12/2013,39.5
3/13/2013,30
3/14/2013,31.5
3/15/2013,41
3/16/2013,50.5
3/17/2013,36
3/18/2013,42
3/19/2013,36.5
3/20/2013,30
3/21/2013,26.5
3/22/2013,31
3/23/2013,41.5
3/24/2013,37
3/25/2013,32.5
3/26/2013,36.5
3/27/2013,36.5
3/28/2013,37
3/29/2013,41.5
3/30/2013,46
3/31/2013,51
4/1/2013,44
4/2/2013,37
4/3/2013,38
4/4/2013,43
4/5/2013,46
4/6/2013,51
4/7/2013,63
4/8/2013,62
4/9/2013,67
4/10/2013,73
4/11/2013,67
4/12/2013,50
4/13/2013,45
4/14/2013,53
4/15/2013,61
4/16/2013,66
4/17/2013,63
4/18/2013,71
4/19/2013,55
4/20/2013,42
4/21/2013,45
4/22/2013,54
4/23/2013,60
4/24/2013,55
4/25/2013,44
4/26/2013,49
4/27/2013,55
4/28/2013,59
4/29/2013,58
4/30/2013,62
5/1/2013,70
5/2/2013,68
5/3/2013,67
5/4/2013,65
5/5/2013,55
5/6/2013,57
5/7/2013,62
5/8/2013,63
5/9/2013,67
5/10/2013,65
5/11/2013,56
5/12/2013,49
5/13/2013,50
5/14/2013,59
5/15/2013,76
5/16/2013,71
5/17/2013,67
5/18/2013,69
5/19/2013,71
5/20/2013,75
5/21/2013,75
5/22/2013,69
5/23/2013,65
5/24/2013,56
5/25/2013,55
5/26/2013,61
5/27/2013,67
5/28/2013,75
5/29/2013,76
